query_id;request_id;park_id;p_to_o_dist;p_to_o_sec;d_to_p_dist;d_to_p_sec
162;12723;3;11.24;1035;25.85;1908
161;12723;2;3.83;541;14.77;1212
160;12723;1;13.43;1134;4.63;492
159;12722;3;10.20;849;31.14;1999
158;12722;2;2.79;355;20.06;1302
157;12722;1;12.39;948;10.77;659
156;12721;3;26.53;1671;29.48;1979
155;12721;2;16.78;1060;18.40;1283
154;12721;1;6.48;450;9.11;639
153;12720;3;11.42;1079;3.75;472
152;12720;2;4.00;586;13.51;1084
151;12720;1;13.60;1179;23.80;1693
150;12719;3;10.45;734;13.13;1093
149;12719;2;2.25;221;4.30;454
148;12719;1;11.84;799;14.60;1063
147;12718;3;9.45;700;21.91;1625
146;12718;2;2.27;191;10.83;928
145;12718;1;11.86;769;4.20;408
144;12717;3;10.32;715;6.93;575
143;12717;2;6.06;619;7.04;570
142;12717;1;15.15;1012;17.34;1179
141;12716;3;20.58;1388;19.95;1494
140;12716;2;10.82;776;8.87;797
139;12716;1;1.89;266;4.26;359
138;12715;3;5.19;573;17.12;1347
137;12715;2;15.44;1247;6.04;650
136;12715;1;25.04;1825;8.43;691
135;12714;3;41.59;1855;21.08;1561
134;12714;2;20.76;1364;10.00;864
133;12714;1;10.46;755;4.67;518
132;12713;3;23.02;1432;37.68;1899
131;12713;2;13.27;821;21.16;1324
130;12713;1;2.97;212;15.37;960
129;12712;3;35.93;2157;15.91;1353
128;12712;2;26.17;1545;8.70;782
127;12712;1;21.13;1586;15.08;1198
126;12711;3;1.17;99;35.13;1685
125;12711;2;11.42;773;20.56;1251
124;12711;1;21.01;1352;11.98;935
123;12710;3;8.62;584;33.37;2094
122;12710;2;3.35;284;22.30;1398
121;12710;1;12.95;862;13.01;754
120;12709;3;4.77;317;21.54;1565
119;12709;2;9.16;643;10.47;868
118;12709;1;18.76;1222;2.85;262
117;12708;3;10.71;1071;24.68;1736
116;12708;2;3.71;596;13.61;1039
115;12708;1;13.71;1225;3.59;417
114;12707;3;14.72;965;14.66;1219
113;12707;2;4.97;353;7.68;669
112;12707;1;8.51;601;15.98;1064
111;12706;3;9.46;676;41.64;2025
110;12706;2;8.36;778;21.91;1509
109;12706;1;17.46;1171;12.62;866
108;12705;3;29.23;1742;2.73;231
107;12705;2;19.48;1130;12.49;843
106;12705;1;9.18;521;22.79;1452
105;12704;3;9.71;660;31.14;1999
104;12704;2;19.96;1335;20.06;1302
103;12704;1;29.55;1913;10.77;659
102;12703;3;6.74;702;33.42;1665
101;12703;2;7.76;787;18.85;1231
100;12703;1;17.35;1365;8.77;780
99;12702;3;21.45;1454;15.91;1353
98;12702;2;11.70;842;8.70;782
97;12702;1;1.40;233;15.08;1198
96;12701;3;9.86;833;21.54;1737
95;12701;2;5.82;583;10.46;1041
94;12701;1;15.41;1161;7.92;782
93;12700;3;33.35;1517;4.56;471
92;12700;2;17.33;1029;14.32;1083
91;12700;1;6.93;611;24.62;1692
90;12699;3;1.17;99;22.49;1601
89;12699;2;11.42;773;11.42;904
88;12699;1;21.01;1352;1.99;238
87;12698;3;15.12;1039;18.60;1327
86;12698;2;5.37;427;7.52;630
85;12698;1;8.91;675;5.11;401
84;12697;3;6.74;702;16.71;1276
83;12697;2;7.76;787;5.63;579
82;12697;1;17.35;1365;8.03;620
81;12696;3;10.20;849;23.76;1652
80;12696;2;2.79;355;12.69;955
79;12696;1;12.39;948;2.55;236
78;12695;3;23.54;1638;20.18;1394
77;12695;2;13.79;1026;9.11;698
76;12695;1;4.51;436;3.24;213
75;12694;3;21.45;1454;3.90;378
74;12694;2;11.70;842;13.65;990
73;12694;1;1.40;233;23.95;1599
72;12693;3;11.91;791;16.04;1199
71;12693;2;4.08;436;7.70;587
70;12693;1;12.02;769;6.39;379
69;12692;3;18.95;1351;15.91;1353
68;12692;2;9.20;739;8.70;782
67;12692;1;13.75;1058;15.08;1198
66;12691;3;23.56;1925;19.12;1631
65;12691;2;33.81;2599;8.04;934
64;12691;1;39.39;3024;8.97;875
63;12690;3;20.13;1399;20.98;1492
62;12690;2;10.38;787;9.91;795
61;12690;1;4.82;395;3.28;283
60;12689;3;26.81;1731;12.57;1080
59;12689;2;17.06;1119;2.43;329
58;12689;1;6.76;510;11.32;842
